Date,Type,Details,Fatality
Jun-14,F-16C Block 25F,"Experienced B system hydraulic failure resulting in alternate gear extension. The nose gear did not fully extend and collapsed on landing. The aircraft scraped the nose the length of the runway, and when it reached to arresting cable on the departure end, the cable went over the jet and came to rest at the dorsal and vertical tail. Although significantly damaged, was deemed repairable.",0
Unknown,F-16C Block 30A," 	
Sometime after the summer of 2001 this aircraft had a mishap. To repair this airframe, F-16N #163571 (#86-1689) was split in half at bulkhead 243.00 with the aft end being used for this airframe #85-1444 and the forward half used to fix #86-0242. This work was done by the 649th Logistics Support Squadron at Hill AFB, Utah.",0
Jun-03,F-16C Block 25F," 	
	
It was 9:30 hours when Captain Scott Arbogast ejected over the Barry M. Goldwater training range, Arizona. The cause of the crash was due to the ingestion of a California Condor while practicing take-offs and landings at Gila Bend auxiliary field.",0
Sep-92,F-16C Block 30A,"This was the aircraft which crashed due to the pilots flight suit inflating causing the side stick to jam. The pilot was releiving himself and undid his lap belt. Unknowingly, the belt was wrapped around the stick and when he finally raised his seat up the aircraft went into an unwanted roll which could not be recovered. The pilot managed to eject safely. He unstrapped himself at 33,000 ft and initiated the ejection at 1,100 ft agl. The pilot was unbelted on ejection. This mishap occurred in Cakiruyuk, Turkey at 9:20 hours while TDY.",0
Aug-00,F-16C Block 30A,"Clipped the top of a barn before impacting a ploughed field. Pilot, Major Stephen W. Simmons, was buzzing his in-laws, since they own the property. He was in the process of completing a loop, starting at 140 feet with a top of only 4,759 feet. Unfortunately he wasn't able to complete the loop and never ejected. Time of the crash was 18:00 hours, 4 miles from Tulla, Texas. Eye witnesses said the aircraft lost power and then crashed. Simons was a pilot with Delta Airlines and was flying a cross-country mission from Hill AFB back to NAS Fort Worth.",1
May-96,F-16C Block 30A,"The aircraft ran off the runway at NAS New Orleans when it baunced over the emergency cable after suffering an inflight emergency where all hydraulic control was lost due to a broken hydraulic line. The pilot, Captain Phil Farrell, who stayed with the aircraft was unharmed.",0
Apr-88,F-16C Block 30A,"Hit the ground in Erzberg, Germany near the town of Hermeskeil. The pilot ejected safely. The event was noticed in some over-regional pers with comments like ""aircraft struck into free field but missed an Army Ammo-Depot 200 meters and the Hermeskeil hospital 600 meters.""",0
Oct-87,F-16C Block 30A,"Collided in mid-air with an F-5E (74-01534 of the 527th AS numbered 10) over Searland ,Germany killing the F-16 pilot, Lt.Col. Richard ""Dick"" Allain. The F-16 came down at the local district ""Hoxberg"", town limits of Lebach, Kreis Saarlouis. F-5 allegedly came down near Nonweiler, local town of Selbach, Germany.",1
Mar-96,F-16C Block 30A ,"The aircraft ran off the runway at NAS New Orleans after the pilot, Captain Jack Ivy, came in and braked too late (partially due to a corroded brake controller). The pilot who stayed with the aircraft was unharmed.",0
Oct-05,F-16C Block 30A," 	
	
Damaged in flight during an air refueling with a KC-10A #83-0081 at 10:31 hours. The aircraft landed safely but it is estimated to be some time to be repaired as a bulkhead was severely damaged. Closure rate of the F-16 to the KC-10 was slightly higher then normal. The boom operator pulled the boom up too quickly and in an effort to prevent the boom from hitting the tail of the KC-10 the boom operator overcompensated and the boom came back down hitting the F-16. This was barely a class A mishap.",0
Nov-04,F-16C Block 30A," 	
	
Accidentally fired some practice munition which was intended for a target on a bombing range, but fell short and hit a school. No-one was injured.",0
Oct-92,F-16C Block 30A," 	
	
Crashed on the Konya ranges, Turkey. The aircraft had suffered an engine failure. Capt Martin ejected safely.",0
Nov-98,F-16C Block 30B," 	
Crashed 70 miles southeast of Indianapolis, Indiana on the north side of the Jefferson Proving Grounds. The aircraft was from the Indiana Air National Guard at Terre Haute. First Lieutenant Chris Snyder was able to eject safely. The mishap occurred at about 14:40 hours. Cause was found to be engine failure.",0
Apr-92,F-16C Block 30B," 	
Right after take-off from Misawa AB, Japan the aircraft suffered an inflight emergency. It jettisonned both external fuel tanks and landed uneventfully. Pilot was Lt. Clay W. Hall.",0
Apr-93,F-16C Block 30B," 	
Crashed near Osan while operating a close air support mission on detachment from Misawa, Japan. The pilot ejected safely at treetop level at 14:35 hours. The aircraft was flown into the ground due pilot distraction and spatial disorientation.",0
Jan-92,F-16C Block 30B,"Collided with a KC-135R (61-0284) of the 92nd Wing after this aircraft performed a manouvre to avoid collision with another KC-135. The F-16 went down in the Pacific Ocean, 630 miles east of Atsugi JMSDF AB at 5:27 hours. Pilot, Captain John L. Dolan, ejected safely and was rescued by amphibious US-1A of 71st Koukuutai, JMSDF based at Atsugi AB.",0
Nov-14,F-16C Block 30B,"Aircraft had not completed modifications to QF-16. The aircraft hit the water of the Gulf of Mexico roughly 74 miles south of Tyndall AFB at 8:34 local time during a routine missions. The pilot, Lt.Col. Matthew J. LaCourse, was unfortunately killed in the mishap. The cause was determined at spatial disorientation suffered by the pilot.",1
Sep-90,F-16D Block 25F," 	
	
Destroyed on the Barry M. Goldwater range, Arizona, 10 miles east of Gila Bend at 13:37 hours.Both pilots, Captain James Jones and Lt. Col. Jon Wegner, ejected safely.
	",0
Aug-87,F-16D Block 30A ,"Hit the ground near Metz, France shortly after the two man crew ejected.",0
Jun-96,F-16C Block 30B," 	
	
Crashed near Sioux Falls, South Dakota. Aircraft was from the Iowa ANG. The aircraft suffered a fan blade failure causing the engine to halt. The pilot, Colonel Ronald Dardis, ejected safely.",0
Aug-15,F-16C Block 30B,"Collided with #85-1549 shortly after landing at Nellis AFB around 11:20h local. The mishap was caused by pilot error of both landing aircraft. The aircraft didn't vacate the runway in a correct manner with the other aircraft coming in too hard and landing long on the runway without applying proper braking and aerobrake procedures caused this mishap. The pilot escaped unhurt. Total repair cost is estimated at $ 5.4 million, still pening whether it will be performed.",0
1-Aug,F-16C Block 30B,Collided with #85-1546 shortly after landing at Nellis AFB around 11:20h local. The mishap was caused by pilot error of both landing aircraft. The aircraft came in too hard and landed long on the runway without applying proper braking and aerobrake procedures. This in combination with the other aircraft not vacating the runway in the right manner caused this mishap. The pilot suffered life threatening injuries. The airframe was considered a complete write-off due to extensive fire damage.,0
May-98,F-16C Block 30B,"Crashed at 10:30 hours seven miles south of Ainsworth, Nebraska near Johnston. The aircraft was on a two ship training mission from its home base Sioux City, Iowa. Cause of the crash was due to the F-16 flying through a flock of birds. A minimum of five American White Pelicans struck the aircraft. Damage to the structure, windscreen and ingestion into the engine brought the aircraft down onto hilly grasslands. The pilot, Lt. Col. Lundquist, ejected but was injured hitting the birds during the ejection.",0
May-04,F-16C Block 30B," 	
	
Collided in midair over Oaktown in southwestern Indiana at about 1:40pm with F-16C (86-0260) destroying both aircraft. Both aircraft were from the 113th FS. Pilot, Maj. William E. Burchett, didn't survive the accident. Whitnesses said his parachute did not open fully, but he was killed at impact, ejection seat fired by itself. The other pilot, Maj. Thomas R. Sims, parachuted to safety. He was taken by ambulance to a Hospital.",1
Nov-89,F-16C Block 30B,Was restored to flyable status but suffered a blow out of the tail section due to a fire during a Cope Thunder exercise. The pilot - Lt. Rob Ray - dead-stick landed it. It took 8 months to repair. Rumors were the aft section of a previously damaged block 40 was used to replace the tail of this aircraft. It was later unofficially labeled a block 35.,1
Nov-97,F-16C Block 30B," 	
	
The aircraft crashed practicing basic fighter maneuvers. The F-16 hit the ground near Sidney, Texas at about 13:15 hours. It was 75 miles west-southwest of it home base at NAS Fort Worth. The Air Force Reservist pilot, Col Thomas A Dyches, ejected safely. The pilot experienced the aircraft departing controlled flight due to a high AOA low speed manouvre. He could not reach the MPO switch to override the aircraft's computer in order to overcome the aircraft's departing controlled flight.",0
Jan-01,F-16D Block 30B," 	
	
Collided with F-16C (86-0228) at 18:45 hours with night vision goggles over Cape Charles, Virginia. F-16C (86-0228) passed this F-16 and the top of the fins on the AiM-9's cut across the fuselage all the way up to bulkhead 243 which is just behind the canopy. They were able to land safely at Langley AFB, Virginia. The D-model gave up its wing for the C-model which once wing replaced flew home. The D-model left Langley AFB on a truck to Hill AFB, Utah. Repair work was carried out at Ogden ALC by the 649th Combat Logistics Support Squadron. Cost to repair was $1.2 million, 26000 work hours and over a 2 year period. Aircraft was delivered back to the 149th FS by March 31st, 2004.",0
Sep-98,F-16D Block 32C," 	
	
Crashed onto the Avon Park Range about 50 miles south of Orlando, Florida. The aircraft was in a four ship formation on a gunnery training mission from Homestead Air Reserve Station. The pilot, Capt. Thomas M. Carr, was killed in the mishap, and no one was in the backseat. Cause of the crash was human error, with improper distance with the other aircraft in the formation. Aircraft was on loan to the 93rd FS at the time of loss.",1
Mar-97,F-16D Block 32C," 	
Collided with #86-0257 and suffered only minor damage to tail and some turkey feathers and was easily repaired. Unfortunately 86-0257 was written-off. At the time this aircraft was on loan to the 93rd FS. The flight was a photoflight with 86-0040 passing underneath another three-ship. The pilot lost visual contact for a brief period in which he scraped 86-0257 which lost its radome and radar pitching up and not being able to recover. The pilot, Maj. Daley, ejected safely.",0
Jul-91,F-16D Block 30D," 	
	
Hit the ground near Bangojin, South Korea. The crash occurred during an incentive flight with a crew chief. The pilot selected afterburner to start a mach run, but shortly after selecting full afterburner the crew heard a loud bang followed by a decrease in engine RPM. The pilot cleaned the wings by ejecting all external stores. Not long after that, engine RPM's dropped to zero and the aircraft soon became a two-seat glider. The pilot was able to guide the jet over water with the assist of the EPU and both the pilot and crew chief successfully ejected at 2,200 feet and were rescued by helicopter. This accident stopped the incentive flight program at Kunsan for a while. ",0
Sep-93,F-16C Block 32C," 	
	
The aircraft collided with F-16 (#86-0253) over Gila Bend, Arizona during BFM manouvering. The aircraft was extremely damaged with the right wing being bent 90° upwards. The pilot managed to keep control of the aircraft and land it at Gila Bend with a slightly faster landing speed to keep control of the F-16.",0
Feb-88,F-16C Block 32C," 	
	
Destroyed on the Barry M. Goldwater range, Arizona. Major Willy Kempe was killed in this accident.",1
Dec-93,F-16C Block 30C," 	
	
Belly landed Byrd IAP, Richmond, Virginia, but damage was said to be repairable. Said to have accidentally landed on its centre line fuel tank. It was being flown by the Virginia ANG at the time of the mishap. The aircraft was in depot at Ogden ALC, Utah where it was repaired and returned for service with the 149th FS in 1998.",0
Jul-01,F-16C Block 30C," 	
	
Crashed near Parkersburg, Illinois at 14:40 hours. The pilot, Major Patrick Wade, ejected safely. Cause of the crash was that the no. 4 bearing seased.",0
Jan-01,F-16C Block 30C," 	
	
Collided with F-16D (#85-1572), but both had landed safely at Langley AFB, Virginia. They were flying at 18:45 hours with night vision goggles over Cape Charles, Virginia when they hit. A wing was taken from the D-model and attached to the C-model so that it could fly home safely. The D-model was taken from Langley AFB by truck to Hill AFB, Utah where it was repaired over the next two years.",0
Dec-00,F-16C Block 30C," 	
	
Was returning to land from a Functional Check Flight. The gear was lowered but on contact with the ground had an uncommanded gear retraction. The aircraft belly landed on its gear doors but there was also damage to the ventral fins, tail hook, block structural supports and to the airframe itself. The belly was severely damaged including damage to bulkheads 243.00 and 279.00. The pilot stayed with the aircraft and was uninjured. It was sent to Ogden ALC with the 649th Combat Logistics Support Squadron for work at major depot level repaire. F-16N #163571 (#86-1689) has been split in half at bulkhead 243.00 to replace the front of #86-0242. The aft end of the F-16N has been used to rebuild #85-1444. Aircraft still in 149th FS markings.",0
Jun-88,F-16C Block 30C," 	
	
Crashed near Merxzell-Burbach, Germany. It was the third crash in one day on German soil, and it stopped low level flying in that country from December onwards. The pilot, Captain Jack Friedman, ejected safely. The cause was determined as a failure of the no. 5 engine bearing. The aircraft was temporarily stationed at Baden-Baden AFB.",0
Aug-93,F-16C Block 32C," 	
	
Wore the Su-27 colour scheme and numbered '50' at the time of the mishap. The pilot, Captain James Reynolds, did not survive this crash. After performing an F-15 engagement he put his airfraft in a 90° nose down flight, starting recovery too late. He probably misjudged the altitude he was at and the F-16 hit the ground recovering with the pilot not ejecting.",1
Sep-93,F-16C Block 32C," 	
	
Collided at Gila Bend, Arizona at 12:29 hours with an F-16 (#86-0212) which landed safely. During BFM both aircraft rejoined each other and hit. The pilot, Major James Leslie, ejected safely.",0
Mar-97,F-16C Block 32C," 	
	
Collided with F-16D #86-0040 from the same squadron over the Gulf of Mexico. Five F-16's were in an air-to-air photo session. The F-16D was passing under three F-16C's when it hit one of the aircraft. The F-16C lost its entire nose and could not regain control. The pilot was forced to eject. The pilot, Major Dennis Daley, ejected from the aircraft at 11:45 hours. Twenty minutes later a United States Coast Guard helicopter picked him up unharmed near Key West, Florida. The aircraft was from Homestead AFB, Florida and marked '482 OG'.",0
May-04,F-16C Block 30C," 	
	
Collided in midair with F-16C (#85-1555) over Oaktown, Indiana destroying both aircraft.",0
Nov-99,F-16C Block 30D,"Collided with F-16C (87-0240), near the town of Vermont, Illinois about eighty kilometres north of their base. One pilot landed the aircraft while the other was forced to eject. Cause is believed to have been from one of the pilots losing situational awareness. The mishap occurred as the upgrading pilot performed an air-to-air intercept on the instructor who was acting as a target and flying slow speed with lights out. A high to low intercept was flown by the upgrading pilot and he did not achieve sufficient lateral displacement for his Vc (overtaking velocity). He rolled out behind the target at 500 feet and 180 knots of overtake. An evasive maneuver was initiated at 200 feet and less than 1 second prior to impact. The right wing impacted and severed the target aircraft's left horizontal tail and severely damaged the corresponding hydraulic integrated servoacuator. The aircraft then experienced total hydraulic failure and went out of control. The instructor pilot ejected safely and the upgrading pilot flew his damaged aircraft to base.",0
Oct-05,F-16C Block 30D," 	
	
Ran off the runway at Balad AB. Aircraft was dissassembled and returned to Homestead, Florida in crates and aboard a 40 foot flatbed trailer. The depot team from Hill AFB repaired the structural damage.",0
Aug-99,F-16C Block 30D," 	
	
Collided with F-16C (88-0403) and crashed at Kunsan AFB, South Korea. After the pilot, Major Mark Moore, ejected, the aircraft slided down on the runway with the gear torn off but was thought to have been a complete write-off. The aircraft received a landing clearance, while the other was taking off at the same time. The pilot of 88-0403 was able to land his plane with some damage to the left leading edge flap of the wing between stations no. 1 & 2 .",0
Jun-07,F-16C Block 32D,"During a Red Flag Alaska exercise this aircraft collided with 71st FS F-15C 83-0017. The Eagle crashed, but the F-16, piloted by Maj. Brett R. Paola, landed safely at Eielson AFB with some minor damage.",0
Feb-89,F-16C Block 30D," 	
	
Crashed in Crow Valley, Philippines at 8:16 hours with the pilot, 1st Lieutenant Josh Levin, not surviving the crash. Cause was spatial disorientation.",1
Jul-93,F-16C Block 30D," 	
	
In poor weather this F-16 landed on top of F-16C (87-0335) which was trying to take off . Pilot Lt. Col. Ralph Earl ""Bark"" Gardner who had just arrived at Kunsan AB, Korea from MacDill AFB was killed. The 56th FW which was closing down had just enough aircraft to fly for his memorial.",1
Mar-99,F-16C Block 30D," 	
	
Fog at Kunsan AB, Korea caused the flight of two to divert to Kimhae International Airport also in Korea. Conditions at this airport were raining. The first aircraft landed but hydroplaned, resulting in the pilot using the end of runway barrier. The second aircraft landed and hydroplaned, but had to steer off the runway in order to avoid hitting the other aircraft which had just taken the barrier. Following this the aircraft struck the MA-1A barrier chain which tore off the entire undercarriage. Instructor pilot Major David L. Orr exited the aircraft safely without ejecting. Damage was a destroyed ECM pod, undercarriage and debris which was ingested into the engine.",0
Jun-04,F-16C Block 30D,"The aircraft was being towed from the Foxtrot taxiway (next to the alternative runway) coming from the washing area called a ""birdbath"" when the right wing hit some of the ""birdbath"" structure. The TSgt who was driving for some reason swerved the aircraft towards the birdbath instead of keeping it in the center of the taxiway. The structure of the birdbath stuck on the right wing pulling it off the taxiway. Most of the damage was the result of the nose gear collapsing in contact with the soft ground",0
Jul-99,F-16C Block 30D," 	
	
Crashed during a night training mission at about 8:45 hours. The aircraft crashed eight miles north of Hobbs, New Mexico. The pilot (callsign BamBam) ejected safely only twenty seconds before impact. Cause of the crash was an engine failure, when two blades broke loose due to fatigue. The pilot had attempted two re-lights of engine before ejecting. The aircraft skidded nearly intact partly across a highway. The pilot landed a few hundred yards from the aircraft at which point he picked up the back of his seat (which is quite heavy) carried it to the aircraft and leaned it up against the side of the jet before walking to a farmhouse nearby and calling ops.",0
Jan-89,F-16C Block 30D,Crashed into the Yellow Sea just off South Korea. Pilot ejected and was rescued by a US Army Chinook. The wreck was salvaged by a US Navy vessel. Recovery from the sea took about a week. Photograph taken after recovery.,0
Dec-89,F-16C Block 30D," 	
Destroyed 23 miles off Kunsan AB, South Korea after suffering an engine malfunction which wasn't recoverable. The pilot, Captain Jeffrey Sturmthal, ejected safely.",0
Feb-12,F-16C Block 30D," 	
	
Rolled off the end of the runway into the grass about 100 feet after making an emergency landing at Saipan international airport Tuesday morning due to ""hydraulic issues"" during Cope North 2012 exercise.",0
Mar-89,F-16C Block 30D," 	
	
Collided with F-16C (86-0312) over Barchin del Hoyo, Spain when practising BFM. Both aircraft were lost. One pilot, 1st Lieutenant Danny Ralph Johnson, was killed due to an ejection seat malfunction while the other, Captain Stephen S. Kempf, ejected safely.",1
Dec-00,F-16C Block 30D," 	
	
This aircraft piloted by Lieutenant Colonel John C. Harrison of the 83rd FWS at Tyndal AFB, Florida. The aircraft was on temporary duty with this unit. He ejected east of Panama City at Apalachicola, Florida at about 13:50 hours with minor injuries. Cause was engine failure and fire. John was rescued by a Coast Guard helicopter.",0
Dec-88,F-16C Block 30D," 	
	
Crashed near Chiloeches, Spain which is close to Torrejon AB, outside of Madrid during approach to the airfield. The pilot, Maj. Gen. Winfield Scott Harpe, died in the crash. He was the commander of the USAF operations in the Mediterranean. Harpe, 51, was on a training flight. The exact curcumstances have never been totally revealed since the investigation showed no technical failure nore. Most probably Gen. Harpe got disoriented during the nightly approach to Torrejon AB.",1
Sep-98,F-16C Block 30E," 	
	
Crashed at 9:13 hours, 30 miles southwest of Fort Sumner in the eastern portion of New Mexico. The pilot, Major Kevin Frisbie, was severely injured in the ejection. He was treated at the University Hospital, Albuquerque. Cause of the crash was the pilot having gravity-induced loss of consciousness after preforming a high-g manoeuvre of 6.4 g’s. Frisbie was unconscious for about ten seconds. When he woke he was 70 degrees nose down 5,000 feet altitude and at a speed of 575 knots (1,065 km/h). He attempted to pull out of the dive, but at 300 feet ejected. The pilot knew about the g-suit malfunction prior to flight during his checks. He was cleared to take it as is with a g-limit restriction. His parachute also did not open fully before he impacted the ground causing multiple breaks to both hips and legs. It was over 4 to 6 months until he was around on crutches.",0
Nov-93,F-16C Block 30E," 	
	
Went down near Laramie, Wyoming at 14:22 hours. The pilot, Lt. Julian Clay, ejected safely. Cause was an engine failure.",0
Jul-04,F-16C Block 30E,"Ran off the runway at Balad AB, Iraq collapsing the gear. Pilot did not eject, but opened the canopy and stepped out.",0
Feb-91,F-16C Block 30E," 	
	
Crashed at Diyarbakir, Turkey. Engine exploaded after refuelling. The pilot, Capt. Strom, tried to reach the air base, but when he realised he could not make it he ejected safely and was rescued.",0
Unknown,F-16C Block 30E,Aircraft went through its nose landing gear on the tarmac. Happened in 1996/97. Was repaired swiftly,0
Aug-93,F-16C Block 30E,Crashed into the Adriatic Sea after an engine stall. The pilot ejected safely.,0
Oct-88,F-16C Block 30E,"The aircraft suffered an engine failure. The pilot ejected from his F-16 near Incirlik, Turkey.",0
Sep-02,F-16C Block 30E,"Impacted the ground near Bobby Chain Airport in Hattiesburg, Mississippi. Pilot, Major Charles Toplikar, ejected safely with minor injuries. The primary cause of the accident was the failure of the high-pressure turbine post, allowing the HPT blades to break free and damage the engine. Unit had just passed 50000 hours mishap free when this happened.",0
Oct-90,F-16C Block 30E," 	
	
Crashed 60 miles northeast of Taegu, South Korea at 9:42 hours after experiencing an engine flame-out. The pilot, Guy 'Pepe' Brilando, ejected safely.",0
Aug-13,F-16C Block 30E," 	
	
The F-16 was involved in a mid-air collision with another F-16 of the 121st FS (#87-0314) when executing a routine night training mission off the coast of Chincoteague, approximately 70 miles southeast of Washington. The accident occurred over water at 22:28 local time. The pilot ejected and was rescued out of the water at 00:30 local on August 2nd. The other F-16 landed safely.",0
Aug-90,F-16C Block 30E," 	
	
After a test mission the pilot, Major Bonasso, forgot to lower the landing gear of theis F-16. The jet landed on the center fuel tank which exploaded and the aircraft, which was a heavily instrumented test aircraft with only 54 flying hours, was heavily damaged.",0
Mar-96,F-16C Block 30E," 	
	
Experienced engine troubles after completing a bombing training mission. It crashed at 10:05 hours into an artillery range at Camp Grayling ANG base after the pilot, Capt. Douglas Cligrow, ejected safely.",0
Jan-91,F-16C Block 30F,"An Mk. 84 bomb exploded as it left the aircraft on a strike mission over Kuwait. Pilot, Colonel John Ball, was able to fly the aircraft over water before ejecting. The US Navy rescued John out of the Persian Gulf water. John Ball was the 614th Director of Operations.",0
Jan-91,F-16C Block 30F," 	
	
Shot down in Desert Storm from an SA-6. Combat loss number 10 in Desert Storm. The pilot, Captain Harry 'Mike' Roberts, ejected safely, but was taken prisoner. Aircraft was on a mission to attack the Air Defense Headquarters Building in Baghdad. Aircraft had flown 4 combat missions before being lost.",0
Nov-99,F-16C Block 30F," 	
	
Collided with F-16C (86-0263), near the town of Vermont, Illinois about eighty kilometres north of their base. One pilot landed the aircraft while the other was forced to eject. Cause is believed to have been from one of the pilots losing situational awareness. The mishap occurred as the upgrading pilot performed an air-to-air intercept on the instructor who was acting as a target and flying slow speed with lights out. A high to low intercept was flown by the upgrading pilot and he did not achieve sufficient lateral displacement for his Vc (overtaking velocity). He rolled out behind the target at 500 feet and 180 knots of overtake. An evasive maneuver was initiated at 200 feet and less than 1 second prior to impact. The right wing impacted and severed the target aircraft's left horizontal tail and severely damaged the corresponding hydraulic integrated servoacuator. The aircraft then experienced total hydraulic failure and went out of control. The instructor pilot ejected safely and the upgrading pilot flew his damaged aircraft to base.",0
Jun-11,F-16C Block 30F," 	
	
Crashed into an unoccupied vacation home in the town of New Chester around 13:20h local time. Was one of two fighter jets which had taken off from Truax Field in Madison for a routine training mission in the vicinity of Volk Field. Pilot ejected safely.",0
Mar-05,F-16C Block 30F," 	
Left main tire blew after rotation during a take off from Alburquerque, New Mexico. Damage also was sustained when debris made a hole in the lower finger brace panel which is important to the the structure. It is thought to be repairable, but unknown if the wing will need to be replaced.",0
Dec-89,F-16C Block 30F,"Belly landed but stayed on the runway. Pilot did not eject. Aircraft carried wing commanders markings. Minor repairs were made but the aircraft never flew again and went to Sheppard AFB, Texas. Cause of the mishap happened as follows. The centerline tank was installed prior to flight. Leak and transfer check where good, but the pilot did not close the IFR door. The pilot noticed fuel not transferring and punched off the full centerline tank. The F-16 came into view for landing powered by the EPU only and kept the gear up. When the aircraft touched down bright colored flames came from under the aircraft as it slid to a stop, but it did not catch fire.",0
Jan-91,F-16C Block 30F,"Pilot, Major Jeffrey Scott Tice ejected safely after travelling 150 miles inside Iraq, but became a POW as the ejection took place over Iraq. It was the 8th combat loss and the first daylight raid over Baghdad. The aircraft was struck by an SA-3 just south of Baghdad. Aircraft 86-0225 was brought in to replace this lost aircraft. Major Tice's aircraft aborted and 87-0257 was the spare for that day. Wreckage was later found by the US Marines who contacted the squadron to see what they wanted done with the aircraft as the aircraft was largely intact. Order was give to destroy the aircraft. Location of the crash site was in a section of Iraq that the US Marines had occupied. Most reports have the two losses of F-16's from this squadron switched on this date. Flew 4 missions before being written off.",0
May-93,F-16C Block 32F," 	
	
Written-off at Nellis AFB, Nevada at 12:25 hours. The pilot, Major Scott Anderson, experienced a G-LOC during a BFM exercise with some F-15s and ejected, suffering only a broken legg. The aircraft wore the blue Su-27 scheme.",0
Jan-94,F-16C Block 30H,"Two F-16s (#87-0389 and #87-0270) were doing a formation take-off from Wright-Patterson AFB. At lift off, the lead aircraft (87-0270) pitched nose down. The aircraft did not respond to nose up commands by the pilot so Capt. Anthony Zaccaro ejected successfully. The plane came down in the grass off the left side of the runway. During the slide, the gear struts failed, fuel cells ruptured and a big fire trailed and engulfed the aircraft when it stopped. After that the second aircraft pitched nose down and blew the nose tire braking the nose strut. In this condition the aircraft was unflyable. It was tracking straight down the runway and responded to brake pressure so Lt. Mark Bortiatynski completed an abort and successfully egressed after sliding to a stop. When this aircraft hit the runway, the centerline fuel tank split and the fuel was ignited which left a large trailing fireball.",0
Jun-95,F-16C Block 30H," 	
	
Went down 2 miles southeast of Strum, Wisconsin at 10:20 hours after engine began to loose thrust. The pilot, Captain John C. Wasserburger, ejected safely before aircraft impacted the terrain. The F-16 belonged to the Wisconsin ANG at the time of the crash.",0
May-94,F-16C Block 30H," 	
	
Collided in mid-air over the Yellow Sea with an F-15C (78-0530) of the 67th FS which was 2 miles off Boryong, South Korea. The resulting crash killed the pilot of the F-15, Captain John Kindred. The F-16 pilot ejected safely.",0
Jun-92,F-16C Block 32H," 	
	
The aircraft, which was the number one Thunderbird, was badly damaged at Selfridge ANGB. A person drove his vehicle into the side of the Thunderbird F-16 at 70 miles per hour in what was later determined as a suicide. The crash tore out the port main undercarriage of the aircraft, and the aircraft was pushed 14 feet into another Thunderbird F-16C causing damage. The driver did not survive, and the time of the accident was about three in the morning. The aircraft was repaired at Ogden ALC and completed by April 1993. After its repair it was returned to Nellis AFB.",0
Jul-11,F-16C Block 30H,Ran off the runway at Oshkosh at 11.20hrs.,0
May-91,F-16C Block 30H," 	
	
Crashed in Leftwich park after the pilot ejected safely. The site of the crash was 4 miles north of Misawa, Japan. Witness Acount: ""The load crew that I was on was doing a FOD walk in front of D-13 or D-15 HAS when it was taking off for a night sortie during an exercise. We noticed sparks coming out of the engine and it slowed down and turned towards lake Ogawara. The pilot then ejected. The aircraft crashed in Leftwich park and took out part of the soft ball field. We were told that the engine came apart."" Ultimately it was determined that the main fuel pump valve failed. All F-16 were grounded for 2 weeks and adjustments to this system made.",0
Apr-17,F-16C Block 30H," 	
	
The F-16 suffered from an improper assembly of the main engine control and consequently crashed near Andrews AFB at 9:13 hours local. The pilot ejected safely.",0
Feb-94,F-16C Block 32H,"The crash of Thunderbird no. 6 at Indian Springs Auxiliary Airfield, Nevada. A pilot error was blamed for this training crash involving a manoeuvre called a spiral descent. The pilot, Captain Thomas H. Lewis Ill, survived, but the manoeuvre was discontinued.",0
Unknown,F-16C Block 30H,Aircraft got off the runway or taxiway. Repaired and put back into service.,0
Aug-13,F-16C Block 30H," 	
	
The F-16 was involved in a mid-air collision with another F-16 of the 121st FS (#86-0357) when executing a routine night training mission off the coast of Chincoteague, approximately 70 miles southeast of Washington. The accident occurred over water at 22:28 local time. This F-16 landed safely and received minor damage, but the other F-16 crashed, but the pilot ejected and was rescued out of the water at 00:30 local on August 2nd.",0
Dec-12,F-16C Block 32J ," 	
	
Series of pilot errors resulted in the loss of this F-16 to an inverted stall. The pilot ejected safely and no one on the ground was injured as it was in a remote area of California. According to the results of the accident investigation, the pilot failed to properly recover the aircraft from a high-pitch, low airspeed state, resulting in an inverted deep stall. In addition, the pilot failed to properly apply out-of-control recovery procedures and was unable to recover the aircraft before ejection.",0
Sep-02,F-16C Block 30J," 	
	
Crashed killing pilot Captain Benton Zettel. Aircraft was lost 50 miles west of Cannon AFB, New Mexico.",1
Sep-03,F-16C Block 32J ,"Crashed during a demonstration at Mountain Home AB, Idaho. The pilot, Capt. Chris Stricklin, misjudged the altitude required to perform a split-S manoeuvre and started the pull down at only 1,670ft (510m) instead of the required 2,500ft (760m). The error most likely resulted from using an incorrect airfield altitude. Capt. Stricklin ejected only 8/10 of a second, at an altitude of 140ft (42m), before impact. The aircraft brought in to replace it was 86-0281.",0
Mar-01,F-16C Block 30J,"Engine failed over Melrose Bombing Range. Captain Dawn Hokaj ejected with only minor injuries around 20 miles west of Clovis, New Mexico. The no. 3 bearing in the engine broke apart causing the engine failure. Failure of the no. 3 bearing was a known problem with those engines",0
Jul-93,F-16C Block 30J," 	
	
Was preparing for take off when F-16C (86-0275) landed on top of it. One of the pilots, Lt. Col. Ralph Earl ""Bark"" Gardner who had just arrived at Kunsan AB, Korea from MacDill AFB was killed. The 56th FW which was closing down had just enough aircraft to fly for his memorial.",1
